"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000002477.5",1994,2421,1611,1348,1655,379
"ENSMUSG00000002486.15",190,187,129,106,156,34
"ENSMUSG00000002489.16",1019,1062,657,671,938,236
"ENSMUSG00000002496.10",1486,1555,859,952,1326,374
"ENSMUSG00000002500.15",3,0,1,2,5,0
"ENSMUSG00000002504.15",1,3,6,1,8,0
"ENSMUSG00000002524.17",6103,5732,3256,3258,5092,1392
"ENSMUSG00000002546.16",1378,1205,700,614,1041,280
"ENSMUSG00000002550.16",93,103,49,68,89,31
"ENSMUSG00000002565.16",257,232,154,166,269,63
"ENSMUSG00000002578.18",43,38,32,20,34,4
"ENSMUSG00000002580.7",809,753,457,388,610,157
"ENSMUSG00000002588.13",0,2,0,0,1,0
"ENSMUSG00000002602.16",341,354,180,170,239,75
"ENSMUSG00000002603.15",1233,1266,734,849,1205,324
"ENSMUSG00000002608.8",1047,980,517,562,888,261
"ENSMUSG00000002617.14",124,140,89,156,203,49
"ENSMUSG00000002625.10",1290,1231,735,967,1482,387
"ENSMUSG00000002633.4",1,0,0,0,0,0
"ENSMUSG00000002635.11",493,568,299,266,334,101
"ENSMUSG00000002658.9",2519,2538,1414,1323,1917,535
"ENSMUSG00000002660.8",304,332,174,188,250,76
"ENSMUSG00000002661.14",293,240,166,154,276,63
"ENSMUSG00000002664.2",0,0,0,0,0,0
"ENSMUSG00000002668.8",1156,1179,661,836,1196,333
"ENSMUSG00000002679.14",459,519,321,317,410,102
"ENSMUSG00000002688.8",0,8,0,0,5,0
"ENSMUSG00000002699.13",9727,9552,5600,6435,9567,2538
"ENSMUSG00000002718.14",4341,5260,3032,3168,3838,1038
"ENSMUSG00000002728.14",86,89,53,58,81,22
"ENSMUSG00000002731.6",246,255,142,177,248,70
"ENSMUSG00000002732.14",28,31,14,17,22,9
"ENSMUSG00000002733.8",163,153,118,95,147,28
"ENSMUSG00000002741.9",1226,1124,789,778,1228,272
"ENSMUSG00000002748.7",12352,12252,7450,6842,10059,2574
"ENSMUSG00000002763.16",581,544,339,389,606,153
