"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT014139","mmu","mmu","mmu-miR-181a-5p","S1pr1","0","0","0","0","1","0","0","0","1","1"
"MIRT014270","mmu","mmu","mmu-miR-181a-5p","Ednrb","0","0","0","0","1","0","0","0","1","1"
"MIRT014106","mmu","mmu","mmu-miR-181a-5p","Epc1","0","0","0","0","1","0","0","0","1","1"
"MIRT014228","mmu","mmu","mmu-miR-181a-5p","Epha4","0","0","0","0","1","0","0","0","1","1"
"MIRT014382","mmu","mmu","mmu-miR-181a-5p","Erg","0","0","0","0","1","0","0","0","1","1"
"MIRT014217","mmu","mmu","mmu-miR-181a-5p","Celf2","0","0","0","0","1","0","0","0","1","1"
"MIRT014400","mmu","mmu","mmu-miR-181a-5p","Eya3","0","0","0","0","1","0","0","0","1","1"
"MIRT014385","mmu","mmu","mmu-miR-181a-5p","Fkbp1a","0","0","0","0","1","0","0","0","1","1"
"MIRT014392","mmu","mmu","mmu-miR-181a-5p","Flt1","0","0","0","0","1","0","0","0","1","1"
"MIRT014353","mmu","mmu","mmu-miR-181a-5p","Srgap2","0","0","0","0","1","0","0","0","1","1"
"MIRT014152","mmu","mmu","mmu-miR-181a-5p","Gabra1","0","0","0","0","1","0","0","0","1","1"
"MIRT014302","mmu","mmu","mmu-miR-181a-5p","Gabra4","0","0","0","0","1","0","0","0","1","1"
"MIRT014439","mmu","mmu","mmu-miR-181a-5p","Nr6a1","0","0","0","0","1","0","0","0","1","1"
"MIRT014012","mmu","mmu","mmu-miR-181a-5p","Gja1","0","0","0","0","1","0","0","0","1","1"
"MIRT014115","mmu","mmu","mmu-miR-181a-5p","Gls","0","0","0","0","1","0","0","0","1","1"
"MIRT014166","mmu","mmu","mmu-miR-181a-5p","Gnao1","0","0","0","0","1","0","0","0","1","1"
"MIRT014243","mmu","mmu","mmu-miR-181a-5p","Gnaq","0","0","0","0","1","0","0","0","1","1"
"MIRT014174","mmu","mmu","mmu-miR-181a-5p","Gpm6b","0","0","0","0","1","0","0","0","1","1"
"MIRT014165","mmu","mmu","mmu-miR-181a-5p","Pdia3","0","0","0","0","1","0","0","0","1","1"
"MIRT014433","mmu","mmu","mmu-miR-181a-5p","Agfg1","0","0","0","0","1","0","0","0","1","1"
"MIRT014427","mmu","mmu","mmu-miR-181a-5p","Elavl4","0","0","0","0","1","0","0","0","1","1"
"MIRT014204","mmu","mmu","mmu-miR-181a-5p","Id2","0","0","0","0","1","0","0","0","1","1"
"MIRT014120","mmu","mmu","mmu-miR-181a-5p","Ids","0","0","0","0","1","0","0","0","1","1"
"MIRT014104","mmu","mmu","mmu-miR-181a-5p","Invs","0","0","0","0","1","0","0","0","1","1"
"MIRT014096","mmu","mmu","mmu-miR-181a-5p","Itga4","0","0","0","0","1","0","0","0","1","1"
"MIRT014160","mmu","mmu","mmu-miR-181a-5p","Jag1","0","0","0","0","1","0","0","0","1","1"
"MIRT014266","mmu","mmu","mmu-miR-181a-5p","Kcna2","0","0","0","0","1","0","0","0","1","1"
"MIRT014248","mmu","mmu","mmu-miR-181a-5p","Kcnj10","0","0","0","0","1","0","0","0","1","1"
"MIRT014325","mmu","mmu","mmu-miR-181a-5p","Kcns2","0","0","0","0","1","0","0","0","1","1"
"MIRT014072","mmu","mmu","mmu-miR-181a-5p","Kif1c","0","0","0","0","1","0","0","0","1","1"
"MIRT014110","mmu","mmu","mmu-miR-181a-5p","Kif5c","0","0","0","0","1","0","0","0","1","1"
"MIRT014102","mmu","mmu","mmu-miR-181a-5p","Kifc2","0","0","0","0","1","0","0","0","1","1"
"MIRT014025","mmu","mmu","mmu-miR-181a-5p","Klf2","0","0","0","0","1","0","0","0","1","1"
"MIRT014212","mmu","mmu","mmu-miR-181a-5p","Klf3","0","0","0","0","1","0","0","0","1","1"
