"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Rcl1",-0.0611243636016647,7.18635648046002,-0.537389792513271,0.60523672361365,0.872107938549411,-6.47192871925026,"Rcl1",4,-0.477934385603356,0.645031422823249,0.880063717079296,"Rcl1"
"Hnrnpul1",-0.0314352297671441,11.2153566751107,-0.413044877194212,0.690138297896424,0.906489862239374,-6.53527207613675,"Hnrnpul1",25,-0.477847725295973,0.645090564547708,0.880063717079296,"Hnrnpul1"
"Arhgap25",-0.0256066567433724,9.8038383050903,-0.410091448915219,0.692219204602188,0.907279242123915,-6.53658459942906,"Arhgap25",22,-0.477147062454279,0.645568833179829,0.880091287758957,"Arhgap25"
"Tmem43",0.0248360721066181,9.86808711327265,0.392687455376245,0.704537375827893,0.91189465646052,-6.544135277753,"Tmem43",15,0.477139779216571,0.645573805594339,0.880091287758957,"Tmem43"
"Nacc1",-0.0532037197575805,6.15093240796438,-0.561509753238859,0.589427120314548,0.865557702323186,-6.45784521771647,"Nacc1",5,-0.477111254521413,0.645593280165287,0.880091287758957,"Nacc1"
"Syngr2",0.0710107907500666,7.55694145631515,0.57610008464538,0.579974863498395,0.864212216311099,-6.44904855520886,"Syngr2",3,0.476373783159812,0.646096871856545,0.880558426600004,"Syngr2"
"Suox",0.031247488855799,7.11105200123803,0.49543469990781,0.633265461606641,0.883536105535833,-6.49504950593424,"Suox",5,0.475708944074259,0.646551031099915,0.880834397813778,"Suox"
"Kars1",0.0312374368425807,10.6740379956336,0.408095966578615,0.693626738349895,0.907586205703163,-6.5374662906941,"Kars1",23,0.475606092644496,0.646621304096847,0.880834397813778,"Kars1"
"Eif3d",0.0260976584145709,10.0955501898457,0.393191654455835,0.704179190235579,0.91189465646052,-6.5439209606665,"Eif3d",18,0.474814597444699,0.647162216739085,0.881121821846915,"Eif3d"
"Pigt",-0.041448990424497,8.40391930396631,-0.472552771026153,0.648824845412508,0.890313357819797,-6.50691432932674,"Pigt",6,-0.474717285032212,0.647228735950952,0.881121821846915,"Pigt"
"Rpl12",0.0455970232996386,10.4570831446334,0.447437181537979,0.666115579645771,0.897074672775369,-6.51932541523283,"Rpl12",10,0.474590548407086,0.647315373505957,0.881121821846915,"Rpl12"
"Traf6",0.0455804496872148,6.84019867473431,0.600481506947554,0.564370403716116,0.85698963694562,-6.43388605320088,"Traf6",4,0.473925036928326,0.647770412522464,0.881521934176305,"Traf6"
"Nrip2",-0.0673070954032111,5.05772506296722,-0.458127612281232,0.658729117893749,0.894075909143563,-6.5141212655265,"Nrip2",2,-0.473470412140129,0.648081349214557,0.881621763215885,"Nrip2"
"Soat1",0.0531369733592442,7.42801347580835,0.478233484199634,0.644944554487244,0.888285712488738,-6.50401817042191,"Soat1",7,0.473346661182337,0.648166000259047,0.881621763215885,"Soat1"
"Cog2",0.0428057704981226,7.0134117548765,0.536165616395662,0.606045133404925,0.872107938549411,-6.47262818440491,"Cog2",7,0.47272570801798,0.64859084092786,0.881980388060946,"Cog2"
"Maip1",-0.0454189200596922,6.99812063119153,-0.526737241716957,0.612290569049463,0.872853080672845,-6.47796549784752,"Maip1",6,-0.472232600082389,0.648928310032505,0.882114109751011,"Maip1"
"Nek9",-0.0271640694919038,7.84376288531806,-0.439683767404554,0.671497041542331,0.89948071973472,-6.52302663890133,"Nek9",9,-0.472110935049048,0.649011587327773,0.882114109751011,"Nek9"
"Hacl1",0.0865086530103074,4.52710662473585,0.528699325773594,0.610988074709334,0.872788203411629,-6.47686205792752,"Hacl1",2,0.471319609913868,0.649553360981311,0.88234642020791,"Hacl1"
"Fam136a",-0.103262471327215,6.80475248388498,-0.48737474229561,0.638724644493994,0.885732705187819,-6.4992891465966,"Fam136a",3,-0.471313716130113,0.649557396935252,0.88234642020791,"Fam136a"
"Zfyve1",0.094211623308281,5.90386882435479,0.470948691245425,0.649922601233939,0.890313357819797,-6.50772619858236,"Zfyve1",5,0.471007695814581,0.64976697078562,0.88234642020791,"Zfyve1"
"Mrtfa",-0.0762049502522508,5.30344315488559,-0.503987480949554,0.627498392437571,0.879751781557363,-6.49047911421846,"Mrtfa",4,-0.470919321599079,0.649827498800782,0.88234642020791,"Mrtfa"
"Mpp6",0.0341020625218613,7.43903158776012,0.433022343350435,0.676136675426801,0.900373043837392,-6.52615731331757,"Mpp6",9,0.470623737768262,0.650029965861293,0.882402374892829,"Mpp6"
"Gata3",-0.087236946287959,6.87368961301243,-0.481222899473274,0.642907199318619,0.887036861994826,-6.50248096533424,"Gata3",4,-0.470119343044079,0.650375533806279,0.882652510165664,"Gata3"
"Magt1",0.0304169496906868,7.01677223088839,0.489866177965776,0.637034627436767,0.884995702629264,-6.49798561497448,"Magt1",7,0.469714160850897,0.650653194634772,0.882666744222026,"Magt1"
"Slc25a3",-0.0483367878326888,10.6906604061606,-0.441975831646151,0.669904064888463,0.899120687532418,-6.52193889977705,"Slc25a3",12,-0.469633269663273,0.650708634172451,0.882666744222026,"Slc25a3"
